"gene","selected_folds","selection_frequency"
"TUBB2A",1,0.0166666666666667
"UBE2C",1,0.0166666666666667
"UTP3",1,0.0166666666666667
"VEGFA",1,0.0166666666666667
"VESTAR",1,0.0166666666666667
"WDFY1",1,0.0166666666666667
"WDR43",1,0.0166666666666667
"XBP1",1,0.0166666666666667
"ZBED3",1,0.0166666666666667
"ZC3H15",1,0.0166666666666667
"ZNF271P",1,0.0166666666666667
"ZNF462",1,0.0166666666666667
"ZNF625-ZNF20",1,0.0166666666666667
